Nx, Ny, particle_count,T, walltime, max_mass
100, 100, 10, 1000, 0.010000, 10000
200, 200, 20, 1000, 0.060000, 10000
300, 300, 30, 1000, 0.150000, 10000
400, 400, 40, 1000, 0.260000, 10000
500, 500, 50, 1000, 0.410000, 10000
600, 600, 60, 1000, 0.600000, 10000
700, 700, 70, 1000, 0.820000, 10000
800, 800, 80, 1000, 1.080000, 10000
900, 900, 90, 1000, 1.370000, 10000
1000, 1000, 100, 1000, 1.710000, 10000
100, 100, 100, 1000, 1.700000, 10000
200, 200, 200, 1000, 6.780000, 10000
300, 300, 300, 1000, 15.350000, 10000
400, 400, 400, 1000, 27.280000, 10000
500, 500, 500, 1000, 42.660000, 10000
600, 600, 600, 1000, 61.350000, 10000
700, 700, 700, 1000, 83.720000, 10000
800, 800, 800, 1000, 109.090000, 10000
900, 900, 900, 1000, 137.910000, 10000
1000, 1000, 1000, 1000, 170.530000, 10000
100, 100, 10, 1000, 0.010000, 10000
200, 200, 20, 1000, 0.060000, 10000
300, 300, 30, 1000, 0.140000, 10000
400, 400, 40, 1000, 0.260000, 10000
500, 500, 50, 1000, 0.420000, 10000
600, 600, 60, 1000, 0.600000, 10000
700, 700, 70, 1000, 0.820000, 10000
800, 800, 80, 1000, 1.090000, 10000
900, 900, 90, 1000, 1.360000, 10000
1000, 1000, 100, 1000, 1.710000, 10000
100, 100, 100, 1000, 1.700000, 10000
100, 100, 200, 1000, 7.000000, 10000
100, 100, 300, 1000, 15.410000, 10000
100, 100, 400, 1000, 27.290000, 10000
100, 100, 500, 1000, 42.980000, 10000
100, 100, 600, 1000, 61.710000, 10000
100, 100, 700, 1000, 85.570000, 10000
100, 100, 800, 1000, 109.560000, 10000
100, 100, 900, 1000, 138.470000, 10000
100, 100, 1000, 1000, 170.970000, 10000
100, 100, 10, 1000, 0.010000, 10000
200, 200, 20, 1000, 0.060000, 10000
300, 300, 30, 1000, 0.150000, 10000
400, 400, 40, 1000, 0.270000, 10000
500, 500, 50, 1000, 0.410000, 10000
600, 600, 60, 1000, 0.600000, 10000
700, 700, 70, 1000, 0.820000, 10000
800, 800, 80, 1000, 1.090000, 10000
900, 900, 90, 1000, 1.360000, 10000
1000, 1000, 100, 1000, 1.700000, 10000
100, 100, 100, 1000, 1.690000, 10000
100, 100, 200, 1000, 6.920000, 10000
100, 100, 300, 1000, 15.320000, 10000
100, 100, 400, 1000, 27.410000, 10000
100, 100, 500, 1000, 42.750000, 10000
100, 100, 600, 1000, 61.540000, 10000
100, 100, 700, 1000, 84.740000, 10000
100, 100, 800, 1000, 109.450000, 10000
100, 100, 900, 1000, 138.440000, 10000
100, 100, 1000, 1000, 170.620000, 10000
100, 100, 10, 1000, 0.010000, 10000
200, 200, 20, 1000, 0.060000, 10000
300, 300, 30, 1000, 0.150000, 10000
400, 400, 40, 1000, 0.270000, 10000
500, 500, 50, 1000, 0.420000, 10000
600, 600, 60, 1000, 0.600000, 10000
700, 700, 70, 1000, 0.830000, 10000
800, 800, 80, 1000, 1.080000, 10000
900, 900, 90, 1000, 1.380000, 10000
1000, 1000, 100, 1000, 1.800000, 10000
1000, 1000, 100, 1000, 1.700000, 10000
1000, 1000, 200, 1000, 6.810000, 10000
1000, 1000, 300, 1000, 15.730000, 10000
1000, 1000, 400, 1000, 27.330000, 10000
1000, 1000, 500, 1000, 43.720000, 10000
1000, 1000, 600, 1000, 61.640000, 10000
1000, 1000, 700, 1000, 83.650000, 10000
1000, 1000, 800, 1000, 109.280000, 10000
1000, 1000, 900, 1000, 138.310000, 10000
1000, 1000, 1000, 1000, 170.940000, 10000
1000, 1000, 2000, 1000, 683.270000, 10000
1000, 1000, 3000, 1000, 1536.920000, 10000
1000, 1000, 4000, 1000, 2732.360000, 10000
1000, 1000, 5000, 1000, 4267.250000, 10000
