No_ranks, Nx, Ny, particle_count, T, mpitime, max_mass
2, 1000, 1000, 100, 5000, 3.13, 10000
2, 1000, 1000, 1200, 5000, 442.90, 10000
2, 1000, 1000, 2016, 5000, 1250.17, 10000
4, 1000, 1000, 100, 5000, 0.86, 10000
4, 1000, 1000, 1200, 5000, 111.70, 10000
4, 1000, 1000, 2016, 5000, 315.02, 10000
8, 1000, 1000, 100, 5000, 0.29, 10000
8, 1000, 1000, 1200, 5000, 31.7, 10000
8, 1000, 1000, 2016, 5000, 82.13, 10000
8, 1000, 1000, 3000, 5000, 176.66, 10000
8, 1000, 1000, 4000, 5000, 311.54, 10000
8, 1000, 1000, 5000, 5000, 486.44, 10000
