Nx, Ny, particle_count, T, walltime, iteration_avg, max_Mass, number_of_threads
100, 100, 1000, 50, 1.774944, 0.035490, 1, 7
100, 100, 2000, 50, 6.433008, 0.128643, 1, 7
100, 100, 3000, 50, 14.066304, 0.281301, 1, 7
100, 100, 4000, 50, 28.005663, 0.560080, 1, 7
100, 100, 5000, 50, 38.450306, 0.768965, 1, 7
100, 100, 6000, 50, 54.469381, 1.089339, 1, 7
100, 100, 7000, 50, 74.809889, 1.496140, 1, 7
100, 100, 8000, 50, 96.997294, 1.939881, 1, 7
100, 100, 9000, 50, 123.251491, 2.464957, 1, 7
100, 100, 10000, 50, 153.095119, 3.061821, 1, 7
