Nx, Ny, particle_count, T, walltime, iteration_avg, max_Mass, number_of_threads
100, 100, 1000, 50, 10.111856, 0.202228, 1, 0
100, 100, 2000, 50, 40.402448, 0.808032, 1, 0
100, 100, 3000, 50, 90.895682, 1.817889, 1, 0
100, 100, 4000, 50, 162.066527, 3.241297, 1, 0
100, 100, 5000, 50, 252.639088, 5.052741, 1, 0
100, 100, 6000, 50, 363.794046, 7.275831, 1, 0
100, 100, 7000, 50, 495.131900, 9.902580, 1, 0
100, 100, 8000, 50, 648.417257, 12.968280, 1, 0
100, 100, 9000, 50, 818.556864, 16.371063, 1, 0
100, 100, 10000, 50, 1010.341783, 20.206754, 1, 0
