N x M x L, walltime
100 x 1000 x 100, 0.012056
100 x 2000 x 100, 0.024925
100 x 3000 x 100, 0.037526
100 x 4000 x 100, 0.052248
100 x 5000 x 100, 0.067014
100 x 6000 x 100, 0.089865
100 x 7000 x 100, 0.117320
100 x 8000 x 100, 0.148171
100 x 9000 x 100, 0.175798
100 x 10000 x 100, 0.202349
100 x 11000 x 100, 0.226221
100 x 12000 x 100, 0.248654
100 x 13000 x 100, 0.270245
100 x 14000 x 100, 0.292935
100 x 15000 x 100, 0.317841
100 x 16000 x 100, 0.338980
100 x 17000 x 100, 0.364429
100 x 18000 x 100, 0.389030
100 x 19000 x 100, 0.413974
100 x 20000 x 100, 0.438402
100 x 21000 x 100, 0.464854
100 x 22000 x 100, 0.491715
100 x 23000 x 100, 0.518072
100 x 24000 x 100, 0.549345
100 x 25000 x 100, 0.576323
100 x 26000 x 100, 0.608417
100 x 27000 x 100, 0.633205
100 x 28000 x 100, 0.669206
100 x 29000 x 100, 0.703327
100 x 30000 x 100, 0.735354
100 x 31000 x 100, 0.775011
100 x 32000 x 100, 0.820065
100 x 33000 x 100, 0.853499
100 x 34000 x 100, 0.908062
100 x 35000 x 100, 0.951992
100 x 36000 x 100, 1.007019
100 x 37000 x 100, 1.067414
100 x 38000 x 100, 1.151904
100 x 39000 x 100, 1.143376
100 x 40000 x 100, 1.232595
100 x 41000 x 100, 1.280592
100 x 42000 x 100, 1.387771
100 x 43000 x 100, 1.458504
100 x 44000 x 100, 1.498539
100 x 45000 x 100, 1.660502
100 x 46000 x 100, 1.688479
100 x 47000 x 100, 1.814902
100 x 48000 x 100, 1.913517
100 x 49000 x 100, 2.018173
100 x 50000 x 100, 2.176625
100 x 51000 x 100, 2.295097
100 x 52000 x 100, 2.429989
100 x 53000 x 100, 2.483817
100 x 54000 x 100, 2.641877
100 x 55000 x 100, 2.733437
100 x 56000 x 100, 2.837359
100 x 57000 x 100, 2.995541
100 x 58000 x 100, 3.215071
100 x 59000 x 100, 3.231206
100 x 60000 x 100, 4.462652
100 x 61000 x 100, 3.870109
100 x 62000 x 100, 3.985581
100 x 63000 x 100, 3.714154
100 x 64000 x 100, 4.429604
100 x 65000 x 100, 4.202361
100 x 66000 x 100, 4.522995
100 x 67000 x 100, 4.549157
100 x 68000 x 100, 4.748857
100 x 69000 x 100, 10.171470
100 x 70000 x 100, 5.111442
100 x 71000 x 100, 5.240401
100 x 72000 x 100, 5.458737
100 x 73000 x 100, 5.617766
100 x 74000 x 100, 5.698954
100 x 75000 x 100, 5.979996
100 x 76000 x 100, 6.049924
100 x 77000 x 100, 7.080411
100 x 78000 x 100, 6.494842
100 x 79000 x 100, 8.854921
100 x 80000 x 100, 9.154521
100 x 81000 x 100, 7.014577
100 x 82000 x 100, 7.234101
100 x 83000 x 100, 7.399109
100 x 84000 x 100, 7.536040
100 x 85000 x 100, 7.745526
100 x 86000 x 100, 7.944624
100 x 87000 x 100, 8.059807
100 x 88000 x 100, 8.285011
100 x 89000 x 100, 10.071207
100 x 90000 x 100, 8.667782
100 x 91000 x 100, 10.040346
100 x 92000 x 100, 9.126955
100 x 93000 x 100, 9.248582
100 x 94000 x 100, 9.407986
100 x 95000 x 100, 10.598983
100 x 96000 x 100, 9.784633
100 x 97000 x 100, 10.247586
100 x 98000 x 100, 10.127064
100 x 99000 x 100, 10.272683
100 x 100000 x 100, 10.480656
